ID,pop,pop2,DBH,LON,LAT,sNMF_V1,sNMF_V2,sNMF_V3,sNMF_V4,sNMF_V5
sample_1,EDGE-TN1,EDGE,37.5,-82.480638,36.560255,1.00E-04,0.210726,1.00E-04,0.258218,0.530856
sample_2,EDGE-TN1,EDGE,28.4,-82.480638,36.560255,1.00E-04,0.0633583,1.00E-04,0.932008,0.00443357
sample_3,EDGE-TN1,EDGE,16.2,-82.480602,36.5603,1.00E-04,0.0321423,1.00E-04,0.951265,0.016393
sample_4,EDGE-TN1,EDGE,19.5,-82.480763,36.560256,1.00E-04,0.01996,1.00E-04,0.976673,0.0031669
sample_5,EDGE-TN1,EDGE,15,-82.480833,36.560269,0.00480895,0.000597731,1.00E-04,0.977684,0.0168098
sample_6,EDGE-TN1,EDGE,10.2,-82.480902,36.56038,0.00116329,0.0335181,0.00987519,0.936678,0.0187659
sample_7,EDGE-TN1,EDGE,23.1,-82.480949,36.560407,1.00E-04,0.0287434,0.000328459,0.960432,0.0103959
sample_8,EDGE-TN1,EDGE,11.4,-82.481035,36.560553,1.00E-04,0.0419665,1.00E-04,0.957734,1.00E-04
sample_9,EDGE-TN1,EDGE,13,-82.480999,36.560607,0.000577551,0.0289208,1.00E-04,0.955965,0.0144368
sample_10,EDGE-TN1,EDGE,9.7,-82.480998,36.560598,1.00E-04,0.0776187,1.00E-04,0.922081,1.00E-04
sample_11,EDGE-TN1,EDGE,23.5,-82.480919,36.560487,1.00E-04,0.0504474,1.00E-04,0.949253,1.00E-04
sample_12,EDGE-TN1,EDGE,31.8,-82.480867,36.560456,1.00E-04,0.0958922,0.00378855,0.892345,0.00787448
sample_13,EDGE-TN1,EDGE,26.4,-82.4808,36.56047,1.00E-04,0.0483145,0.0020135,0.944355,0.0052172
sample_14,EDGE-TN2,EDGE,19.3,-83.108271,36.146998,1.00E-04,0.44922,1.00E-04,0.55048,1.00E-04
sample_15,EDGE-TN2,EDGE,20,-83.108285,36.146999,1.00E-04,0.351787,1.00E-04,0.647913,1.00E-04
sample_17,EDGE-TN2,EDGE,14.8,-83.108307,36.147063,1.00E-04,0.495371,1.00E-04,0.504329,1.00E-04
sample_18,EDGE-TN2,EDGE,20.2,-83.108318,36.147155,1.00E-04,0.591683,0.000296157,0.407821,1.00E-04
sample_19,EDGE-TN2,EDGE,19.2,-83.108334,36.14715,1.00E-04,0.375169,1.00E-04,0.624531,1.00E-04
sample_20,EDGE-TN3,EDGE,21.2,-83.108348,36.147184,1.00E-04,0.532502,0.000894373,0.466404,1.00E-04
sample_21,EDGE-TN3,EDGE,16.3,-83.067027,36.169377,1.00E-04,0.131733,0.002754,0.865313,1.00E-04
sample_22,EDGE-TN3,EDGE,14.5,-83.067181,36.169042,0.0015358,0.578392,0.00230903,0.417663,1.00E-04
sample_23,EDGE-TN3,EDGE,21.8,-83.067264,36.168539,1.00E-04,0.320612,1.00E-04,0.679088,1.00E-04
sample_24,EDGE-TN3,EDGE,19.8,-83.067859,36.168596,1.00E-04,0.65205,1.00E-04,0.34765,1.00E-04
sample_25,EDGE-TN3,EDGE,7.8,-83.06795,36.168716,0.00394777,0.521012,0.048266,0.4195,0.00727419
sample_26,EDGE-TN4,EDGE,28.5,-84.287045,36.459234,1.00E-04,0.0846227,1.00E-04,0.915077,1.00E-04
sample_27,EDGE-TN4,EDGE,16.2,-84.284504,36.463925,1.00E-04,0.0978231,0.0174521,0.884525,1.00E-04
sample_28,EDGE-TN4,EDGE,20,-84.2848,36.463969,1.00E-04,0.131066,0.00183126,0.866903,1.00E-04
sample_29,EDGE-TN5,EDGE,26.3,-84.535272,36.414382,1.00E-04,0.115475,0.00544762,0.878877,1.00E-04
sample_30,EDGE-TN5,EDGE,33.7,-84.531242,36.406864,1.00E-04,0.119158,1.00E-04,0.880542,1.00E-04
sample_31,EDGE-TN5,EDGE,29.5,-84.531292,36.406884,1.00E-04,0.0966515,1.00E-04,0.901997,0.00115141
sample_32,EDGE-TN5,EDGE,19.5,-84.531378,36.406862,1.00E-04,0.133366,1.00E-04,0.866334,1.00E-04
sample_33,EDGE-TN5,EDGE,24,-84.531257,36.40691,1.00E-04,0.154764,1.00E-04,0.844937,1.00E-04
sample_34,EDGE-TN5,EDGE,17.7,-84.531088,36.406974,1.00E-04,0.140571,0.0102027,0.843147,0.00597993
sample_35,EDGE-TN5,EDGE,27.8,-84.53103,36.40699,1.00E-04,0.141753,1.00E-04,0.857947,1.00E-04
sample_36,EDGE-TN5,EDGE,22.2,-84.530929,36.406963,1.00E-04,0.0665653,1.00E-04,0.933135,1.00E-04
sample_37,EDGE-TN5,EDGE,21.9,-84.530843,36.406946,1.00E-04,0.0992224,1.00E-04,0.900478,1.00E-04
sample_38,EDGE-TN5,EDGE,23.7,-84.530796,36.406997,1.00E-04,0.0986558,1.00E-04,0.901044,1.00E-04
sample_39,EDGE-TN5,EDGE,22.7,-84.535503,36.433795,1.00E-04,0.0715391,0.00326775,0.924993,1.00E-04
sample_40,EDGE-TN5,EDGE,31,-84.544895,36.427732,1.00E-04,0.0897973,0.00890156,0.901101,1.00E-04
sample_41,EDGE-TN5,EDGE,33.6,-84.544761,36.434343,1.00E-04,0.0288693,0.000539076,0.965757,0.0047347
sample_42,EDGE-TN5,EDGE,28.4,-84.536738,36.427721,1.00E-04,0.00779747,0.0108618,0.980529,0.000712074
sample_43,EDGE-TN5,EDGE,16.2,-84.528017,36.413064,0.00159652,0.063392,0.0172936,0.907303,0.010415
sample_44,EDGE-TN5,EDGE,25,-84.527917,36.412995,0.000562421,0.103086,1.00E-04,0.888894,0.00735706
sample_45,EDGE-TN6,EDGE,10.6,-86.472443,36.516685,1.00E-04,0.104202,1.00E-04,0.89196,0.00363848
sample_46,EDGE-TN6,EDGE,12.2,-86.472345,36.516565,1.00E-04,0.0954229,1.00E-04,0.904277,1.00E-04
sample_49,EDGE-TN6,EDGE,19.6,-86.472311,36.516274,1.00E-04,0.0872132,1.00E-04,0.90844,0.00414701
sample_50,EDGE-TN6,EDGE,37.5,-86.472195,36.516057,1.00E-04,0.136115,0.00647413,0.857211,1.00E-04
sample_51,EDGE-TN6,EDGE,8.5,-86.472211,36.516055,1.00E-04,0.134021,0.0136556,0.851003,0.001221
sample_52,EDGE-TN6,EDGE,16,-86.472218,36.516014,1.00E-04,0.194087,0.00197937,0.803734,1.00E-04
sample_54,EDGE-TN6,EDGE,6.5,-86.472024,36.507216,1.00E-04,0.0317726,0.00956247,0.958465,1.00E-04
sample_55,EDGE-TN7,EDGE,29.5,-86.353987,35.807343,1.00E-04,0.48041,1.00E-04,0.51929,1.00E-04
sample_56,EDGE-TN7,EDGE,30,-86.353935,35.807336,1.00E-04,0.760134,1.00E-04,0.239566,1.00E-04
sample_57,EDGE-TN7,EDGE,18.8,-86.354022,35.807345,1.00E-04,0.880188,1.00E-04,0.119512,1.00E-04
sample_58,EDGE-TN7,EDGE,16.8,-86.354012,35.807446,1.00E-04,0.680513,1.00E-04,0.319187,1.00E-04
sample_59,EDGE-TN7,EDGE,22.2,-86.35419,35.807609,1.00E-04,0.897441,1.00E-04,0.102259,1.00E-04
sample_60,EDGE-TN7,EDGE,29.5,-86.354291,35.807659,1.00E-04,0.785403,1.00E-04,0.214297,1.00E-04
sample_61,EDGE-TN8,EDGE,49,-86.586192,35.733376,1.00E-04,0.0850568,0.0173609,0.884033,0.0134488
sample_62,EDGE-TN8,EDGE,59.4,-86.586685,35.733514,0.00023924,0.129318,1.00E-04,0.870243,1.00E-04
sample_63,EDGE-TN8,EDGE,7.4,-86.586983,35.733341,1.00E-04,0.11401,1.00E-04,0.872302,0.0134879
sample_65,EDGE-TN8,EDGE,29.6,-86.587547,35.730903,1.00E-04,0.237288,1.00E-04,0.762412,1.00E-04
sample_66,EDGE-TN8,EDGE,30,-86.586532,35.730612,1.00E-04,0.185446,0.00132635,0.812918,0.000209683
sample_67,EDGE-TN8,EDGE,10,-86.58876,35.733945,1.00E-04,0.34264,1.00E-04,0.65706,1.00E-04
sample_68,EDGE-TN8,EDGE,6.3,-86.593012,35.733442,0.0033491,0.0132754,1.00E-04,0.970997,0.0122785
sample_69,EDGE-TN8,EDGE,44.1,-86.625257,35.761023,0.00515223,0.12469,0.00885606,0.853509,0.00779258
sample_70,EDGE-TN9,EDGE,21.4,-87.094767,36.086379,1.00E-04,0.0770885,0.0109569,0.90384,0.00801442
sample_71,EDGE-TN9,EDGE,10.6,-87.0944,36.085908,1.00E-04,0.122003,1.00E-04,0.877697,1.00E-04
sample_72,EDGE-TN9,EDGE,14.8,-87.093113,36.083989,0.0125372,0.383415,0.00521588,0.586425,0.0124065
sample_73,EDGE-TN10,EDGE,26,-86.996746,36.554174,0.00586674,0.419855,0.0203998,0.53685,0.0170282
sample_75,EDGE-TN11,EDGE,28,-87.440861,36.521028,1.00E-04,0.023691,0.00201738,0.966349,0.00784221
sample_76,EDGE-TN12,EDGE,20.1,-87.849287,36.500354,1.00E-04,0.254768,1.00E-04,0.744932,1.00E-04
sample_77,CORE-IL1,CORE,33.9,-88.01117,41.531417,0.00538135,1.00E-04,0.00126588,0.993153,1.00E-04
sample_78,CORE-IL1,CORE,31.8,-88.011338,41.531491,0.0165092,0.0096044,1.00E-04,0.973194,0.000592631
sample_79,CORE-IL1,CORE,36.6,-88.013552,41.531409,1.00E-04,0.027541,1.00E-04,0.956659,0.0156002
sample_80,CORE-IL1,CORE,19.5,-88.014322,41.53122,0.000905773,0.0069387,0.00167071,0.990385,1.00E-04
sample_81,CORE-IL1,CORE,18.2,-88.015594,41.531677,0.0295408,0.00711961,0.00282638,0.95573,0.00478345
sample_82,CORE-IL1,CORE,17.6,-88.015902,41.531905,1.00E-04,1.00E-04,1.00E-04,0.9996,1.00E-04
sample_83,CORE-IL1,CORE,28,-88.015857,41.532109,0.0163166,1.00E-04,0.00066049,0.981872,0.00105096
sample_84,CORE-IL1,CORE,15.6,-88.016041,41.532337,0.00697421,1.00E-04,0.00839182,0.984434,1.00E-04
sample_85,CORE-IN1,CORE,27.2,-86.359627,41.543144,0.00698147,0.0198483,1.00E-04,0.97297,1.00E-04
sample_86,CORE-IN1,CORE,24.7,-86.359623,41.543275,0.00266436,1.00E-04,1.00E-04,0.9919,0.005236
sample_87,CORE-IN1,CORE,8.4,-86.358792,41.543381,0.00852571,1.00E-04,0.00425067,0.987024,1.00E-04
sample_88,CORE-IN1,CORE,19.6,-86.358435,41.543468,1.00E-04,1.00E-04,0.0105554,0.988776,0.000468223
sample_89,CORE-IN1,CORE,15.2,-86.358708,41.543063,0.000915621,0.0154916,0.00318214,0.980311,1.00E-04
sample_90,CORE-IN1,CORE,18,-86.357494,41.542614,1.00E-04,1.00E-04,1.00E-04,0.9996,1.00E-04
sample_91,CORE-IN1,CORE,28,-86.357679,41.543143,1.00E-04,0.00984763,0.00387931,0.977256,0.00891681
sample_92,CORE-IN1,CORE,15.7,-86.357379,41.54291,0.00962224,0.00441765,1.00E-04,0.976214,0.00964612
sample_93,CORE-IN2,CORE,16,-87.024206,41.65139,0.0034926,1.00E-04,1.00E-04,0.996207,1.00E-04
sample_94,CORE-IN2,CORE,25.8,-87.024084,41.651284,0.019004,1.00E-04,1.00E-04,0.980321,0.000475223
sample_95,CORE-IN2,CORE,14,-87.02422,41.651321,0.00815677,1.00E-04,0.00341083,0.975924,0.0124081
sample_96,CORE-IN2,CORE,18.7,-87.025299,41.651005,0.0108103,0.00077453,0.00427645,0.984039,1.00E-04
