Species,pa,x,y
Quercus bicolor,1,-95.2794,38.6248
Quercus bicolor,1,-94.94449033,39.35570412
Quercus bicolor,1,-94.77910002,39.76422198
Quercus bicolor,1,-94.71056001,38.91670998
Quercus bicolor,1,-94.70860001,38.91869998
Quercus bicolor,1,-94.6131,38.1944
Quercus bicolor,1,-94.039886,38.872863
Quercus bicolor,1,-93.694603,41.449351
Quercus bicolor,1,-93.613094,44.856996
Quercus bicolor,1,-93.60305561,40.43194451
Quercus bicolor,1,-93.389955,44.799394
Quercus bicolor,1,-93.3194445,39.5075
Quercus bicolor,1,-93.2306389,39.5828611
Quercus bicolor,1,-93.2130556,39.7730556
Quercus bicolor,1,-93.169288,44.757308
Quercus bicolor,1,-92.776586,37.5382294
Quercus bicolor,1,-92.749381,41.682622
Quercus bicolor,1,-92.61916,40.19027
Quercus bicolor,1,-92.6167,38.0744
Quercus bicolor,1,-92.6086111,39.2169445
Quercus bicolor,1,-92.58276998,40.395
Quercus bicolor,1,-92.58276998,40.40972
Quercus bicolor,1,-92.5816667,39.4486111
Quercus bicolor,1,-92.359725,38.929138
Quercus bicolor,1,-92.30917633,42.88556712
Quercus bicolor,1,-92.29237476,44.47158072
Quercus bicolor,1,-92.28944437,36.59750061
Quercus bicolor,1,-92.2061111,39.9466666
Quercus bicolor,1,-92.19266504,42.76940822
Quercus bicolor,1,-91.98527759,44.63277636
Quercus bicolor,1,-91.93054959,44.31416516
Quercus bicolor,1,-91.90896052,44.26484359
Quercus bicolor,1,-91.90845052,44.26303559
Quercus bicolor,1,-91.90826952,44.26471059
Quercus bicolor,1,-91.90792952,44.2651526
Quercus bicolor,1,-91.90772152,44.2648486
Quercus bicolor,1,-91.90757752,44.26368559
Quercus bicolor,1,-91.8625333,39.7110194
Quercus bicolor,1,-91.8559444,39.7175
Quercus bicolor,1,-91.80263278,44.16619672
Quercus bicolor,1,-91.68611101,38.91833408
Quercus bicolor,1,-91.590529,41.670668
Quercus bicolor,1,-91.54750035,37.31222456
Quercus bicolor,1,-91.53889005,44.05255004
Quercus bicolor,1,-91.52680003,40.14329999
Quercus bicolor,1,-91.33377223,43.99850748
Quercus bicolor,1,-91.31222237,38.83805807
Quercus bicolor,1,-91.27555875,43.81750052
Quercus bicolor,1,-91.24510417,43.58814878
Quercus bicolor,1,-91.24356599,40.59756501
Quercus bicolor,1,-91.16541445,43.04496599
Quercus bicolor,1,-91.13777842,42.97611311
Quercus bicolor,1,-90.945434,40.076163
Quercus bicolor,1,-90.92609957,39.01110076
Quercus bicolor,1,-90.90638902,43.11638984
Quercus bicolor,1,-90.85777797,43.10138978
Quercus bicolor,1,-90.85166718,43.10055687
Quercus bicolor,1,-90.802947,41.439298
Quercus bicolor,1,-90.80027797,43.10333408
Quercus bicolor,1,-90.78895003,40.4032599
Quercus bicolor,1,-90.78782505,40.46787796
Quercus bicolor,1,-90.78185004,40.45358495
Quercus bicolor,1,-90.76210799,40.011809
Quercus bicolor,1,-90.75804199,40.013337
Quercus bicolor,1,-90.7447,36.7608
Quercus bicolor,1,-90.739071,39.42961698
Quercus bicolor,1,-90.62222017,40.66110969
Quercus bicolor,1,-90.61888887,37.68111288
Quercus bicolor,1,-90.5721381,43.20333152
Quercus bicolor,1,-90.56173992,40.13796296
Quercus bicolor,1,-90.56159492,40.13758696
Quercus bicolor,1,-90.55115,39.18842597
Quercus bicolor,1,-90.39259667,43.23251271
Quercus bicolor,1,-90.34166618,43.19527975
Quercus bicolor,1,-90.30607043,43.213319
Quercus bicolor,1,-90.30472171,43.26944647
Quercus bicolor,1,-90.3044439,43.26527986
Quercus bicolor,1,-90.30133142,43.21402601
Quercus bicolor,1,-90.27971118,42.24777788
Quercus bicolor,1,-90.26388902,38.61722242
Quercus bicolor,1,-90.26083342,38.61388902
Quercus bicolor,1,-90.25000014,38.60000013
Quercus bicolor,1,-90.24726004,41.67566
Quercus bicolor,1,-90.20226735,40.46523843
Quercus bicolor,1,-90.16510547,44.73945904
Quercus bicolor,1,-90.07388729,44.52749984
Quercus bicolor,1,-89.97118501,38.27535798
Quercus bicolor,1,-89.95379893,43.34227361
Quercus bicolor,1,-89.90129891,43.18141453
Quercus bicolor,1,-89.89819101,38.27161699
Quercus bicolor,1,-89.86921915,43.77578493
Quercus bicolor,1,-89.776389,37.88094506
Quercus bicolor,1,-89.74509324,39.2056157
Quercus bicolor,1,-89.74470224,39.2057157
Quercus bicolor,1,-89.69999758,39.71493553
Quercus bicolor,1,-89.61222115,38.23139272
Quercus bicolor,1,-89.59000052,39.18999953
Quercus bicolor,1,-89.5791352,44.47545596
Quercus bicolor,1,-89.55952631,44.53407115
Quercus bicolor,1,-89.51625974,40.50807242
Quercus bicolor,1,-89.51310999,38.77598502
Quercus bicolor,1,-89.49076026,43.11264398
Quercus bicolor,1,-89.48977726,43.11440099
Quercus bicolor,1,-89.48964226,43.11473899
Quercus bicolor,1,-89.48721139,43.07296801
Quercus bicolor,1,-89.4835744,43.06972501
Quercus bicolor,1,-89.48001736,43.08026801
Quercus bicolor,1,-89.47843143,43.05765502
Quercus bicolor,1,-89.47299641,43.06372002
Quercus bicolor,1,-89.46785714,42.73361574
Quercus bicolor,1,-89.44353351,43.02714605
Quercus bicolor,1,-89.41071867,45.14417227
Quercus bicolor,1,-89.3943519,38.99317924
Quercus bicolor,1,-89.37112923,43.12674713
Quercus bicolor,1,-89.35443543,43.08556044
Quercus bicolor,1,-89.3149794,43.05229116
Quercus bicolor,1,-89.3149544,43.05405816
Quercus bicolor,1,-89.29605218,45.59614523
Quercus bicolor,1,-89.28539953,37.13117643
Quercus bicolor,1,-89.27010011,37.23510139
Quercus bicolor,1,-89.26790062,42.4846301
Quercus bicolor,1,-89.23079417,37.70863969
Quercus bicolor,1,-89.22400115,37.71147669
Quercus bicolor,1,-89.22138987,45.53689054
Quercus bicolor,1,-89.17221911,43.10000212
Quercus bicolor,1,-89.16698699,37.93683814
Quercus bicolor,1,-89.14079166,37.1222951
Quercus bicolor,1,-89.14066798,37.95999415
Quercus bicolor,1,-89.13448599,38.11222649
Quercus bicolor,1,-89.12070912,38.56465445
Quercus bicolor,1,-89.0949875,38.98337525
Quercus bicolor,1,-89.05359691,37.29732641
Quercus bicolor,1,-89.02133987,38.16980548
Quercus bicolor,1,-89.0183947,37.8503329
Quercus bicolor,1,-88.90813709,45.76990712
Quercus bicolor,1,-88.87826375,38.96109191
Quercus bicolor,1,-88.85300771,38.79798556
Quercus bicolor,1,-88.85278,41.14722
Quercus bicolor,1,-88.85278,41.15556
Quercus bicolor,1,-88.8507032,41.7373633
Quercus bicolor,1,-88.78771753,44.39759637
Quercus bicolor,1,-88.76259057,37.22944822
Quercus bicolor,1,-88.715907,41.3217
Quercus bicolor,1,-88.71462671,38.23714032
Quercus bicolor,1,-88.70566675,44.37866157
Quercus bicolor,1,-88.67982162,38.32928348
Quercus bicolor,1,-88.648178,40.00531
Quercus bicolor,1,-88.59018573,44.43131777
Quercus bicolor,1,-88.56107778,38.96311349
Quercus bicolor,1,-88.542683,41.641477
Quercus bicolor,1,-88.540548,41.641125
Quercus bicolor,1,-88.540269,41.641883
Quercus bicolor,1,-88.52749573,37.12443369
Quercus bicolor,1,-88.50417712,44.73616218
Quercus bicolor,1,-88.48634605,44.25382874
Quercus bicolor,1,-88.45169792,44.22381181
Quercus bicolor,1,-88.44033644,41.78516542
Quercus bicolor,1,-88.4186519,44.20948786
Quercus bicolor,1,-88.4099266,42.82039531
Quercus bicolor,1,-88.40550638,44.47892434
Quercus bicolor,1,-88.37156941,41.83413943
Quercus bicolor,1,-88.28015633,38.75718624
Quercus bicolor,1,-88.27279832,41.78839646
Quercus bicolor,1,-88.27247632,41.78727646
Quercus bicolor,1,-88.27243332,41.78734045
Quercus bicolor,1,-88.27183232,41.78721245
Quercus bicolor,1,-88.27127732,41.78784145
Quercus bicolor,1,-88.27084532,41.78817245
Quercus bicolor,1,-88.2537909,44.30588115
Quercus bicolor,1,-88.23755446,42.87833132
Quercus bicolor,1,-88.23379388,42.87872469
Quercus bicolor,1,-88.21495631,43.05447578
Quercus bicolor,1,-88.21105628,40.12873132
Quercus bicolor,1,-88.19632338,41.74125145
Quercus bicolor,1,-88.193392,41.526485
Quercus bicolor,1,-88.18545591,39.22267382
Quercus bicolor,1,-88.18360298,37.77449792
Quercus bicolor,1,-88.18280798,37.77343792
Quercus bicolor,1,-88.172254,39.27678776
Quercus bicolor,1,-88.16494451,38.7212438
Quercus bicolor,1,-88.16222152,39.39527855
Quercus bicolor,1,-88.14944334,39.40361173
Quercus bicolor,1,-88.14691948,41.76687337
Quercus bicolor,1,-88.12353929,41.87149225
Quercus bicolor,1,-88.12049111,44.35002228
Quercus bicolor,1,-88.12040832,44.25769607
Quercus bicolor,1,-88.10198789,38.24122514
Quercus bicolor,1,-88.10034142,44.39384835
Quercus bicolor,1,-88.07961212,41.89120146
Quercus bicolor,1,-88.0771939,38.27079711
Quercus bicolor,1,-88.025398,37.85426131
Quercus bicolor,1,-88.016794,44.64797341
Quercus bicolor,1,-88.01604085,41.53233711
Quercus bicolor,1,-88.01590185,41.53190511
Quercus bicolor,1,-88.01585685,41.53210911
Quercus bicolor,1,-88.01559385,41.53167711
Quercus bicolor,1,-88.01432185,41.53122011
Quercus bicolor,1,-88.01306285,41.53264211
Quercus bicolor,1,-88.01133785,41.53149111
Quercus bicolor,1,-88.01116985,41.53141711
Quercus bicolor,1,-87.99665474,41.62315422
Quercus bicolor,1,-87.97031872,43.05573869
Quercus bicolor,1,-87.96688452,42.98345777
Quercus bicolor,1,-87.95242684,43.90057626
Quercus bicolor,1,-87.91706148,44.52434088
Quercus bicolor,1,-87.91703505,42.18283929
Quercus bicolor,1,-87.91677705,42.18290229
Quercus bicolor,1,-87.91660605,42.1829663
