gbifID,references,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,recordedBy,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialEntityID,materialEntityRemarks,verbatimLabel,materialSampleID,eventID,parentEventID,eventType,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,fieldNotes,eventRemarks,locality,verbatimLocality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,acceptedScientificName,level0Gid,level0Name,level1Name,level2Gid,level2Name
4988011495,https://midwestherbaria.org/portal/collections/individual/index.php?occid=33237482,DEK,,,,PRESERVED_SPECIMEN,24207fd8-f30e-4b95-8b88-79189ad16651,DEK00105051,S. L. Bullock,Fagaceae.; Height ca. 55 m; DBH ca 0.9 m,,,,,,,,,,,,,,,10/25/2005,,298,298,2005,10,25,25-Oct-05,,,,,"Murray State University campus, Murray. Growing ca. 18 m N of Faculty Hall.",,36.610645,-88.322325,500,Quercus lyrata Walter,USA,United States,Kentucky,USA.18.18_1,Calloway
3950501407,https://botanydb.colorado.edu/collections/individual/index.php?occid=473648,COLO,V,,,PRESERVED_SPECIMEN,18962816-9128-4a6e-a600-8f2150859c33,02549194,Leila M. Shultz,Imager: Alex Henrie; Date Imaged: 8/4/2022,,,,,,,,,,,,,,,10/20/1991,,293,293,1991,10,20,20-Oct-91,Open meadow at edge of woods.; Sandy soil,,,,"Talimena Trail in Ouachita Mountains, Kiamichi Wilderness, ca. 1 mi w of Arkansas border.",,34.666667,-94.466667,500,Quercus lyrata Walter,USA,United States,Oklahoma,USA.37.40_1,Le Flore
3097017137,https://www.inaturalist.org/observations/74525880,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/74525880,74525880,Robert Webster,,,,,,,,,,,,,,,,2021-04-09T21:19:27Z,4:19:27 PM,99,99,2021,4,9,2021-04-09 21:19:27Z,,,,,,"Mayes County, US-OK, US",36.286616,-95.32225,500,Quercus lyrata Walter,USA,United States,Oklahoma,USA.37.46_1,Mayes
2445094690,https://www.inaturalist.org/observations/34532945,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/34532945,34532945,Douglas Goldman,"Fruit of this species has a thickened, corky pericarp, allowing them to float in the swampy or riparian habitats the species occupies, an unusual dispersal mechanism in the genus. The whole-fruit and fruit cross-section photos were taken about three months later. Fruit was from this same individual tree.",,,,,,,,,,,,,,,11/7/2014,,311,311,2014,11,7,11/7/2014,,,,,,"Pitt County, NC, USA",35.621447,-77.217376,500,Quercus lyrata Walter,USA,United States,North Carolina,USA.34.74_1,Pitt
2423893854,https://intermountainbiota.org/portal/collections/individual/index.php?occid=22886952,USU,UTC,,,PRESERVED_SPECIMEN,e0e656f1-1579-4bf1-9dc1-b1bfaf55fac2,UTC00283652,Leila M. Shultz,common; tall tree,,,,,,,,,,,,,,,10/20/1991,,293,293,1991,10,20,20-Oct-91,wooded area; sandy soil,,,,"Talimena Trail, Ouachita Mountains",,34.821389,-94.9475,500,Quercus lyrata Walter,USA,United States,Oklahoma,USA.37.40_1,Le Flore
3039185094,https://www.inaturalist.org/observations/68864713,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/68864713,68864713,Abby Darrah,,,,,,,,,,,,,,,,2021-01-31T08:12:21,9:12:21 AM,31,31,2021,1,31,2021-01-31 8:12:21 AM CST,,,,,,"Moss Point, MS 39562, USA",30.630368,-88.599317,489,Quercus lyrata Walter,USA,United States,Mississippi,USA.25.30_1,Jackson
4946704087,https://www.inaturalist.org/observations/241678212,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/241678212,241678212,brownheadednuthatch,,,,,,,,,,,,,,,,2024-09-14T09:57,8:57:00 AM,258,258,2024,9,14,9/14/2024 9:57,,,,,,"Mecklenburg County, NC, USA",35.009244,-80.831851,475,Quercus lyrata Walter,USA,United States,North Carolina,USA.34.60_1,Mecklenburg
4067738754,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=20430833,TAWES,,,,PRESERVED_SPECIMEN,3b90c292-684a-4293-9fe0-8f79c4e45c29,TAWES0005069,Christopher T. Frye,,,,,,,,,,,,,,,,10/28/1996,,302,302,1996,10,28,,bottomlands along creek,,,,"Tuckahoe State Park, adjacent to Youth Camping Area, along Tuckahoe Creek",,38.98366,-75.930484,470,Quercus lyrata Walter,USA,United States,Maryland,USA.21.5_1,Caroline
1453065994,https://www.inaturalist.org/observations/2076805,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,http://www.inaturalist.org/observations/2076805,2076805,Tony Gerard,,,,,,,,,,,,,,,,10/2/2015,,275,275,2015,10,2,10/2/2015,,,,,,"Section 8 Woods, Cache River SNA, Pulaski county, Illinois, U.S.A.",37.306283,-89.020414,422,Quercus lyrata Walter,USA,United States,Illinois,USA.14.78_1,Pulaski
3925877602,https://sernecportal.org/portal/collections/individual/index.php?occid=5885954,MISS,,,,PRESERVED_SPECIMEN,b4941a5b-1a9f-481c-beea-98e922e39f51,MISS0018788,Robert A. Stewart,Fallen leaves.,,,,,,,,,,,,,,,6/1/1993,,152,152,1993,6,1,6/1/1993,In bottomland hardwoods.,,,,"Ca 13 mi SW of Calhoun City; S of MS Hwy 8 in the 0.4 mi btwn Grenada Co and Horse Pen Creek (first bridge). T22N, R8E, S19, NW4.",,33.758263,-89.499342,416,Quercus lyrata Walter,USA,United States,Mississippi,USA.25.7_1,Calhoun
5007393543,https://www.inaturalist.org/observations/251158132,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/251158132,251158132,jimclark,,,,,,,,,,,,,,,,2024-11-09T11:13:53,11:13:53 AM,314,314,2024,11,9,2024-11-09 11:13:53-05:00,,,,,,"US-17 S, New Bern, NC, US",35.100854,-77.046818,379,Quercus lyrata Walter,,,,,
4952986483,https://www.inaturalist.org/observations/243969774,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/243969774,243969774,dunwoodybee,,,,,,,,,,,,,,,,2024-09-25T08:45:54,8:45:54 AM,269,269,2024,9,25,2024-09-25 09:45:54-04:00,,,,,,"Hillsboro Blvd, Manchester, TN, US",35.453177,-86.046084,368,Quercus lyrata Walter,USA,United States,Tennessee,USA.43.16_1,Coffee
3117778548,https://www.inaturalist.org/observations/78591428,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/78591428,78591428,Steve Taylor,,,,,,,,,,,,,,,,2021-05-13T12:06:10,11:06:10 AM,133,133,2021,5,13,Thu May 13 2021 12:06:10 GMT-0400 (EDT),,,,,,"Williamston, NC, US",35.86443,-77.04403,357,Quercus lyrata Walter,USA,United States,North Carolina,USA.34.58_1,Martin
